Timestamp,What positive things have happened today (if any)?,What negative things have happened today (if any)?,Did you make the most of today?,How much fun did you have?,Are you happy with the quality of your work?,How productive have you felt outside of yourself?,Would you have preferred more or less social interaction?,How emotionally healthy did you feel throughout the day?,How close do you feel to being burned out?,How much personal time did you have?,Would you have preferred to have had more or less personal time?,Did you exercise?,,Is there any lesson or observation about life you want to remember from today?,Which of these values do you felt you actively lived today?,Any reflection about your mission statement?,Did you struggle with any of these values today?,Are there any relevant aspects you think this survey didn't touch on?,Are there any aspects of the survey you feel are not relevant?,"Give yourself grace. Get some good sleep.

Will you make the most of your day tomorrow?",Did you accomplish the goals you set out to do?,"If none, how much does that bother you?",What's been a small thing that's brought you joy today?,How much social cohesion did you feel?,Who has made a positive impact on your day?,,Are there any emotions you're processing right now you'd like to keep track of?,Are there any friend life events mentioned today you want to keep in mind for the future?,Any Karina things you want to remember?,Has there been any small thing you’ve done/thought about today that you’re proud of yourself for?,How well did you feel you had the time to do everything you wanted?,What do you want to do in order tomorrow morning?,What are your overall priorities tomorrow?,Thesis updates?,,Brand,,,,,,,,,,,,What's one thing you want to remember for tomorrow?
1/18/2023 23:36:49,"Getting new computer set up, seeing trev again, mom being able to go for a bike ride, call with Doug Wolf who was super helpful in internship searching",,5,3,,5,4,4,4,4,3,,,Really hard to not insinuate blame when asking for more details like with me asking Isabel if she confirmed stuff with Tyler beforehand,,,,,,Yes,3,,The light through the foggy trees while driving down was ridiculous,3,"Karina, Cade, Trevor",,,,"Started convo about our futures together in the car, I told her I wasn’t sure and I was afraid of the study abroads",Not stressing and seeing ETV wonderful wednesday mess up as a way to learn,3,Go for run,,Got desktop up working and ran deforum test!,,,,,,,,,,,,,,
1/17/2023 23:17:44,"Meeting with Molly, evening with Karina",,5,3,,3,3,5,4,4,3,,,Important to take break to walk every hour so it readjusts mind and priorities and allows me to think,,,,,,Yes,3,,Karina asking questions about my filmmaking process and showing her the my bunny’s story bts video,3,Karina,,,Mom got her all clear health wise from neck!,Great day of work and chilling together and watching avatar and taking nap together and talking about our ideal tamed pets,Taking a break and nap when needed,1,Spend most of day getting settled in,,Met with Barba who gave emotional confidence that story is in right place tho I need to do a lot still,,,,,,,,,,,,,,
1/16/2023 23:29:20,"Going on hike and discovering fallen tree and saving another tree, making s’mores and watching Last of Us, Jaeden and Kheyal calling me",,5,5,,5,3,5,2,3,3,Yes,,,,,,,,,4,,Karina’s smile when I kiss her randomly on her cheek,5,"Karina, Jaeden, Kheyal",,Feeling like I really like karina and we do work well together and that makes it much harder to know what to do over summer,,"Fun fixing trees and wandering around forest, had convo about her not thinking of herself positively with ‘not bad’ versus ‘good’ description of her cooking",Respectfully apologizing if I was not in my place to make comments about Karina’s family the other day,3,1. CMF for 30 min 2. thesis for 1 hour 3. Figure schedule out for rest of say,,Figured out negative prompts in the sheet tho I didn’t get rain effect down so now I need to work on thar,,,,,,,,,,,,,,
1/15/2023 23:27:34,"Hot tub convos about morality and taking a shower, watching Aftersun",,4,4,,4,3,3,3,3,4,,,Very easy to get off track when I don’t have a plan or a lot of stuff comes up with ETV stuff,,,,,,Yes,4,,Watching the snow melt beneath my fingers in the hot tub,4,Karina,,Feeling like I want to make a great humanistic art film in live action with great actors,Alyssa going through rough Justin convos,"Fun getting snow and scaring her with it by saying ‘hey catch’, also amazing day taking shower and hot tub together",Listening to my body when it wanted to rest,3,,,Got rain shader figured out going to use an online version rather than make my own,,,,,,,,,,,,,,
1/14/2023 23:26:13,"Playing battleship with Karina at dinner, Mia being cute in car while driving up, ",,5,3,,5,3,3,3,2,3,,,,,,,,,Yes,3,,Seeing the snow up in the mountains,4,"Karina, Kheyal, Mom",,Feeling like Karina is pretty cool,Kheyal is going to be on live call with Aardman director!,"Went up to Suches and she got excited at snow, mia being funny in car holding onto her leg, making dinner and playing battleship, listening to Glass Onion podcast",Clearly setting goals for rest of day and following through on them even tho I didn’t get to watch a movie,2,1. Thesis ai planning 2. Thesis raindrop effect 3. ETV meeting prep 4. Doodle editing 5. Personal tasks,,"Realized I need to half my speed in blender for timing to work, messages casting people, planning finances and writing portion, did a ton of AI work making camera moves and whatnot",,,,,,,,,,,,,,
1/13/2023 23:23:09,"Ran into mom and chatted for a bit on boardwalk, got some camera movement tests in deforum which adds so much",Tested positive for Covid and had to cancel game night,5,3,,4,4,3,3,3,3,Yes,,Should speak up for stuff that bothers me like ETV not responding to texts,,,,,,Yes,2,,Joy of coming up with new film idea and story boarding it (about robot tree society being attacked by humans),3,"Karina, Kheyal, Jaeden, Mom, Trevor",,Frustration at ETV for not responding to texts tho maybe I just need to adjust my expectations and understanding and do some reachout,,"Spent day together watching Black Bear, quarantining with Covid news",Taking video to orient myself and being aware that it’s important for me to keep my room tidy for mental happiness,3,,,"Lot of deforum work with camera movement which makes me excited at this being a real possibility for storytelling, called Fin and chatted AI, need to do casting!!",,,,,,,,,,,,,,
1/13/2023 1:23:39,"Lunch with Jaeden and getting into fake fight over his quotes, discussing mulholland drive with jaeden and kheyal and debating over film as an art",,5,5,,5,2,4,3,2,4,,,,,,,,,Yes,4,,"Connecting with Gary Fessenden, the hard rain outside Cox",5,"Jaeden, Kheyal",,"Not sure how I feel about karina and Leah sleeping in same small bed, also wasn’t a big fan of Leah’s talking about herself the whole time we had dinner",,"Did some work together, had DCT dinner with Leah, I tried walking away with her arms around me which pulled her off the chair and was funny",Not being caught up in FOMO with watching white lotus with demetrios,2,"Go for run, thesis, ETV",,Ton of deforum tests with 2D animation which makes me feel like it’s gotta be pure dreaming,,,,,,,,,,,,,,
1/11/2023 22:49:18,"Excited at possibility of studying abroad in Japan, bumping into Noor and deciding to say something, amazing media council meeting where they decided to give us more money, lunch with demetrios and nandish and catching up, avatar watching with Karina",,5,3,,4,3,4,3,3,3,Yes,,,,,,,,Yes,4,,Hugging nandish hello,4,"Jaeden, Demetrios, Karina",,Feeling of shame around noor and finally feeling like I should say something,Nandish going through interviews for grad school,,Building up courage to say something to Noor,4,"Read, decide plan for networking and honors",,Reached out to Paul’s AI friend,,,,,,,,,,,,,,
1/11/2023 0:41:57,"Spontaneous lunch with Alyssa talking about love, hanging with kheyal and Jaeden watching mystery movie",ETV hecticness and Isabel being very negative,2,2,,2,3,3,4,3,3,,,"When I don’t have a solid idea of what to do it can be very easy to wander, it helps so much to write things out physically because that forces me to focus and write with intent on what’s actually bothering me rather than what I digital wrote earlier I should be doing",,,,,,Yes,3,,Mom making me dates with chocolate and peanut butter,4,"Kheyal, Jaeden, Karina, Alyssa",,Feeling like I need to chat with Isabel about her negative attitude,,,Being aware to not let Burton’s comment go to my head,4,Go for run,,,,,,,,,,,,,,,,
1/10/2023 0:11:03,"Getting a ton of misc tasks done in the morning, lunch catch up with Cade, dinner and podcast episode recording with Kheyal and Jaeden, taking videos of Emory campus while walking around with Karina",Getting in my head with perception of myself as a bad person while working in the afternoon,5,5,,5,3,4,2,5,3,,,I want to be more open with including peeps on stuff like openly asking kheyal if she wants to join podcast right away rather than being hesitant,,,,,,,4,,The long shape of shadow of tree on the grass in the quad,5,"Kheyal, Karina, Trevor, Cade",,,,Went for lovely walk around campus,Reaching out to grab dinner with kheyal,5,"Read, thesis for an hour, leave",,"Sent out emails, not much actual work today",,,,,,,,,,,,,,
1/9/2023 2:11:39,"Watching paranoia agent, getting rough cut together of thesis, playing basketball with trev and going to watch avatar together",,5,5,,5,3,4,3,5,3,Yes,,"The stories we tell ourselves really matter, for instance when the baby was crying in the theater I was super annoyed at first and thought the parents must be horrible, and then I recognized those emotions came from a story that assumes a lot about their situation, like what if they had just wanted one night off to chill and they couldn’t afford a babysitter and previously their baby had done fine in movies? Then my emotions immediately calmed down and it didn’t bother me. Even if the story wasn’t true I was able to enjoy myself a lot more",,,,,,Yes,5,,Dancing by myself while cleaning out my room,5,Trevor,,"Still want to bring stuff up with dad, feeling like I will be disappointing karina a lot this semester with being so focused on other things",,,Chilling out with being so on time with stuff especially when trev came,5,"Read, thesis, personal tasks",,Got a rough cut of renders together with some AI and audio! Still a lot of work to do. Also finished listening to auditions and now I just need to decide. Made a lot of deforum renders ,,,,,,,,,,,,,,
1/8/2023 1:04:30,"Playing last FIFA game with Alex, going on family walk in park, networking call with Daniel, getting deforum helper Google sheets set up and purz saying he’d like a copy of it",,5,4,,5,3,4,4,4,3,,,Should have contrasted more in convo with Karina,,,,,,Yes,5,,Figuring out how to automatically highlight rows on Google sheets,3,"Karina, Alex",,,,"Had walk around Emory and talked outside Cox, I surprised her in cox by asking if I could have ketchup too, she opened up about eating disorder and smoking, later we had facetime call while working together",Recognizing the opportunity to bring up the active listening I needed more of from karina and expressing it with relatively little incoherence and mumbling,4,"Sleep in, review past week, honors misc, prep for move out",,"Almost done rendering full thesis 3D portion, lot of organization done on Google sheet for deforum to work better",,,,,,,,,,,,,,
1/7/2023 1:32:14,"Mom surprise going well and having a lovely convo about arbor and growing up together, getting notes on animation done for thesis and starting to render",,5,5,,5,3,4,4,2,4,Yes,,,,,,,,Yes,3,,The back and forth drama of FIFA matches with Alex as we score goals in the last few minutes of each game,5,"Alex, Mom",,,,Had FaceTime call and worked and I put on mouse emoji,Compartmentalizing a bit better and letting go of plans when more important mom planning stuff came up,3,Spend time with alex,,"Finishing another round of animation notes and started rendering, ran into issue with scene looking all linked assets and draise helped me figure it out, purz introduced warp fusion to me which looks like it might be a great way to do video, he also showed me how to finally get video input working in deforum woo woo",,,,,,,,,,,,,,
1/5/2023 23:55:21,"Nice personal time at farm burger to read and reflect, really enjoyed listening more to history podcast about Palestine, really fun set of FIFA games that were actually challenging","Run felt really tiring, ETV meeting felt chaotic and not comfortable with new way of running things",5,3,,5,3,4,4,2,5,Yes,,"Always start with the positive and where we agree, like with ikki talking about CMF stuff I kinda went straight to the disagreement about the casualness of things",,,,Maybe add back in questions of mission statement,,Yes,3,,"Alex’s excitement at winning at FIFA was really childish and amazing, also listening through the stories of people auditioning for my short film",3,,,"Finally sent text to aman Mavani, feeling better about mom and dad",,,Taking time to still journal and self reflect at farm burger,2,"Read, honors",,"Went through auditions and I think I picked a great Hope, did animation tweaks, hope to finish tweaks tmr and do a render",,,,,,,,,,,,,,
1/5/2023 0:25:28,"Going for longer run and calling Cade, Kheyal coming over and making pretzels together",,5,4,,5,3,4,3,2,5,Yes,,Going for a run brings back my soul,,,,,,Yes,3,,"The lil puppy running beside me for a second, Artemis falling off bed",4,Kheyal,,Feeling like I don’t want to be so hardline with Mavani cause it was my bad for not being more direct with him and also maybe the awkwardness is just a story I tell myself,,Karina came in contact w a Covid person so we cancelled our pretzel making plans,,2,,,"A lot more deforum work and started tweaking animation layout notes, created system to more easily let me keyframe prompts on Google sheets",,,,,,,,,,,,,,
1/4/2023 0:17:48,"Getting a lot more deforum tests, grabbing antico’s with Karina, watching glass onion with fam and having birthday cake surprise for Alex and elizabeth",,5,3,,5,3,4,3,2,4,,,,,,,,,Yes,4,,Immense amount of rain while driving to get pizza,3,,,,,"Had amazing convo in car about communication, watched Glass Onion",Bringing up the communication conversation casually,2,,,"Lot of deforum work, started naming shots and animation beats and organizing a ton, rendering first film ai test overnifht",,,,,,,,,,,,,,
1/3/2023 1:07:15,"Botanical gardens light show, getting work done on animation reel with draise","Frustration over ETV planning with Ikki, Dad still making aggressive comments and not being sure how well he took me talking with him",5,5,,5,3,4,3,2,4,,,Really important to compartmentalize thinking like with ETV planning and then social time and then dad frustration,,,,,,Yes,5,,Alex cracking my back and us having more childhood banter,4,"Alex with bantering and playing FIFA, karina with hugging and walking around botanical gardens",,"ETV hecticness and wanting to pass reins to Ikki, Dad frustration and confusion over whether he took my calling him out well or ignored it",,"Went to botanical gardens, she joked that she had to make up for 2 weeks of biting",Talking with Dad almost immediately after he was rude and aggressive today,3,"Read, honors, personal",,"Finally send out auditions for the casting roles, did a lot of deforum 0.7 work which is technically working but isn’t processing video frames as expected, redid whole schedule, set challenge with Kheyak that I’ll pay her $300 if I don’t have a rough cut by January 22nd",,,,,,,,,,,,,,
1/2/2023 0:25:28,"Going for hike and talking about our values, seeing beauty in the tree and clouds, Jinya ramen, picking karina up from airport",,5,4,,2,3,4,3,2,4,Yes,,,,,,,,Yes,2,,The circular window in the clouds which revealed a whole landscape of fluffy clouds that looked like heaven,5,"Alex, Karina",,I want to be at piece with the world like a tree is,,"Picked her up from the airport, talked about Palestine conflict, mia health",Asking dad to talk at some point as I got nervous but pushed through,3,"Read, journal, honors",,,,,,,,,,,,,,,,
1/1/2023 0:48:34,"Long run without phone to my waterfall, watching Parasite with family",Butting heads with Dad,4,3,,3,3,2,3,3,3,Yes,,Watching Soy Cuba I thought about how truly lucky I am to have my life and not be a farmer peasant scraping together money to feed his children and that all my concerns are social and not for my own health needs,,,,Should add question about what I did for honors today!,,Yes,4,,The dazzling sparkling sunlight on the bushes and trees around me and how pretty the bokeh looked without my glasses as they almost seemed like point clouds,3,,,"Need to talk with Dad, need to talk with Karina, wanted to apologize to Ree for rudeness at movie theater tho she was with her sister",,,,3,"Personal recounting, think about life goals",,,,,,,,,,,,,,,,
12/31/2022 0:59:53,Doing first deforum tests,"Had weird bit if anxiety while watching School of Rock, Dad being argumentative with basic question in kitchen",4,3,,4,3,2,3,2,5,,,,,,,,,Yes,4,,The amazing fog over the treetops while hiking with Alex and Elizabeth,3,"Alex, Mom",,Frustration at dad and myself for not knowing how to approach the situation,,,Knowing in the moment that I wanted to push myself with Alex and dad interaction even though I don’t know how yet,3,"Sleep in, go for run, watch movie",,,,,,,,,,,,,,,,
12/29/2022 23:49:39,FaceTime call with Karina catching up at nighr,,5,4,,5,3,5,2,3,4,Yes,,,,,,,,Yes,3,,Warm cookies straight out of the oven,5,"Alex, Karina",,,,Great FaceTime call catching up,Saying no to Alex for playing another FIFA game when I wanted to finish writing grandparent card,2,,,,,,,,,,,,,,,,,
12/28/2022 23:48:35,Walking and catching up with Maya and Noah and finding rocks to throw on the ice,Anxiety over picking what movie to watch,5,5,,4,3,4,2,3,3,,,Time can be so easily spent on things that don’t matter like getting a specific effect for text on square space and I need to realize that sooner and cut my losses,,,,,,Yes,4,,The sound of rock echoing off ice,5,"Maya, Alex",,Feeling like I really want to learn Houdini,Maya unsure about where she’ll be next year,,Realizing in the moment that I no longer wanted to prioriza other people’s movie opinions over my own and decide to watch City Lights,2,Run! Read! Houdini! Honors! Professional stuff! Honors! Personal projects! Honors! Misc tasks!,,,,,,,,,,,,,,,,
12/28/2022 1:52:15,"Chatting with draise on discord, playing a bunch more FIFA games with Alex",Slight stress about maybe having Covid,5,4,,4,3,4,2,3,4,,,Having solid break in middle of day was very important. Should schedule multiple of those,,,,,,Yes,4,,It snowed!,5,Alex,,,,Had FaceTime call in which we continued talk of gender differences,,3,,,,,,,,,,,,,,,,,
12/27/2022 0:21:54,"Watching knives out with family, having a really intense FIFA match with Alex in which I lost 1-2, finishing Musashi",Long ass car ride back,5,4,,2,3,5,1,2,4,Yes,,I’d like to reevaluate my life goals and perhaps do more meditation and do more painting,,,,,,Yes,2,,Alex being willing to drive and pickup food for us from Hai,4,Alex,,,,We had some more sexy texts and talked about doing the BDSM test together,Not thinking down on Alex for still working during the movie,4,Start day at 11am,,,,,,,,,,,,,,,,
12/25/2022 22:30:18,"Shoveling snow with Alex and bantering about movies, watching Marcel the Shell with Shoes On and enjoying its warmth, watching It’s A Wonderful Life and being inspired to make films that drive home a love for life",,5,4,,3,3,4,1,5,3,,,,,,,,,Yes,4,,Admiration for Alex shoveling the driveway with dedication,4,"Alex, Mom, Grandma",,,,,Without second thought being happy to help Chuck with shoveling his porch,5,"Plan my days left, edit together Christmas video",,,,,,,,,,,,,,,,
12/24/2022 23:29:18,"Wonderful walk and talk with mom through the snow, playing charades with the family and grandpa dancing",,5,5,,3,3,4,1,4,3,Yes,,When I get frustrated it’s better to say it outright than be nit picky about it like I did today with dad asking about the tv,,,,,,Yes,4,,The wind brushing through the streets pulling the snow along like a magical breath from mother nature,5,Mom,,Feeling more okay with going out to LA and trying my luck there,,,Pushing to walk further when mom wanted to,4,,,,,,,,,,,,,,,,,
12/23/2022 23:03:13,Going for walk in snow and finding frozen lake,,5,4,,3,4,4,1,3,3,,,My family doesn’t do many things together and we must actively work to form those bonds,,,,,,Yes,4,,Making abstract art in the snow with my hands and stick,3,,,,,"I wrote letter in snow for her and she wrote me with the invisible ink picture which was fun to play with, we FaceTimed and talked about difference between Mexican dominoes and normal dominos",Stating that I’d like to do more family activities together,5,Relax,,,,,,,,,,,,,,,,
12/22/2022 22:08:16,"Watching The Boxtrolls in car and loving it, seeing Alex and playing games with him in car",Frustrating being with Dad and his lack of communication skills,3,2,,2,3,3,1,1,4,,,,,,,,,Yes,3,,The pretty snow falling under the streetlight,3,Alex,,How to approach dad miscommunication? Hard to do when he’s driving 13 hours but when else will I bring it up cause I only see him on special occasions,,,Asking questions to steer the convo away from doctors and depressing stuff at dinner,3,"Reading, watch movie, honors",,,,,,,,,,,,,,,,
12/21/2022 23:58:25,"Call with Eleanor De Fer and hearing about her passion, helping light Kheyal’s thesis, watching Redline with Aiden",Dad being depressed and not communicating through dinner,3,3,,2,2,2,3,2,4,,,I push away the idea of expectation on myself (like when karina said she could play games with me on the phone on the car ride and I kinda shut it down which I feel bad about),,,,,,Yes,2,,The fact that I pulled up outside Aiden’s house then texted him asking for the address cause I couldn’t see his house right there,2,"Karina, Kheyal, Aiden",,Feeling frustrated at dad for lack of communication and his double question asking,Cade is sick!,FaceTime while I was trying to wrap up my mom’s Christmas presents and she was about to go see movie with her mom,Listening and trying to be understanding with dad when he wasn’t communicating why he didn’t want Aiden to come over properly,1,"Edit reel, work on honors, watch movie, read book",,,,,,,,,,,,,,,,
12/21/2022 0:47:29,"Confirmed Yicheng is down and excited to do audio work for my thesis, getting to hang with Aliyah and Anna and chat shit about movies and what films would be the 7 deadly sins",,5,4,,4,3,3,3,3,5,Yes,,,,,,,,Yes,3,,Pondering to what ‘the way of water’ means in ridiculous terms with Aliyah and Anna,4,"Anna, Alyssa, Aliyah, Mom",,Feeling like I want to be with someone long term who I can easily banter with,Alyssa stress over Emily friendship and her not responding well to the conversation they had,,Giving myself time in the morning to breath and make pancakes to account for time lost going for run,2,"Go fix computer, get misc stuff done, then honors",,,,,,,,,,,,,,,,
12/20/2022 0:29:40,"Good animation work done on thesis, fun to watch Max God and hang with Kheyal, nice virtual date with Karina where we played red box game",,5,3,,4,3,4,2,3,4,,,Environment matters and it’s so easy to fall into habit of playing video game when I could be learning blender,,,,,,Yes,4,,The fact that kheyal and I just barely missed each other going to Publix,3,"Kheyal, Karina, Mom",,Struggling with balance between friendshio vs relationship and making sure everyone feels cared for,,"We had a great virtual date night where we played more of red box game, watched erased, then had virtual sex :)",Finding the polite way to ask to push back date night while still letting karina know that I care for her,3,"Run, personal time, honors",Honors,,,,,,,,,,,,,,,
12/19/2022 0:23:37,Argentina won the World Cup,,4,3,,5,3,3,3,2,4,,,,,,,,,Yes,3,,Finally setting up the linked scenes in blender so they all worked,3,Mom,,Feeling sad at the idea of moving to LA and away from Mom,,,Pushing through and getting to a stopping point on honors even tho I could have let go and watched a movie,2,"Read, set up plan for the week, honors",,,,,,,,,,,,,,,,
12/18/2022 0:15:30,"Grabbing beer and chatting with Liam Tangum, talking with Conner about 3D stuff, lunch at food terminal with Kewal and Samir, getting first bit of real animation done on honors",,5,5,,4,3,5,1,4,3,,,Really needed that mental break to draw to properly shift from computer parts work to honors creative work,,,,,,Yes,4,,Taking break to draw a pic of angel wings,5,Liam Tangum,,,,,,4,Do my weekly recap and set tasks for next week,,,,,,,,,,,,,,,,
12/17/2022 0:02:41,"Great to see and catch up with mom when I moved in, fun watching Pinocchio with Kheyal",,5,3,,3,2,4,1,2,5,,,,,,,,,Yes,2,,Feeling more confident taking apart computer,3,"Karina, Kheyal, Mom",,Feeling like karina and I do have different interests and I mentioned it to mom today and am not sure if this will be a thing to worry about for long run tho I feel I should mention it,Willa birthday tomorrow!,Great morning cuddling in bed and asking chatGPT questions and playing Jenga and speed solitaire and watching Avatar and packing up together,Changing my phrasing so I was more directly asking if mom was okay making food than suggesting it,2,"Gather tools and supplies to bring to computer, research what power supply I need for computer, professional work, honors",Honors animating,,,,,,,,,,,,,,,
12/15/2022 23:19:32,Dinner with Karina,,4,3,,4,3,4,2,5,3,Yes,,Going for run is great way to reset day in afternoon,,,,,,Yes,3,,Mom calling me a wimp for driving to pick up food,4,,,Feeling like karina and I don’t have many things in common to talk about,,Went to fancy dinner and talked about sexism and stuff,,4,,,,,,,,,,,,,,,,,
